,problem_text,topic
169,"Tomorrow you will see five magical girls. Three of them will be king's daughters, and two of them will be mine. Then I will question each of the other girls, and they will call each other king, even two.",combinatorics
170,What is the largest number of cells that can be marked on a chess board so that from each of them to any other noted cell can be marked exactly two strokes of a chess horse?,combinatorics
171,Set the polynomial a3 + b3 + c3 – 3bc by three linear multipliers.,polynoms
172,"The sequence of natural numbers a1, a2,..., an, where a1 is not divided by 5 and for every n an+1 = an + bn, where bn is the last digit of the number an. Prove that the sequence contains infinitely many degrees of two.",number_theory
173,(b) Let p > 5 be a prime number. Prove that the number 1.1 (p – 1 unit) is divided by p.,number_theory
174,"(a) There is 2n + 1 battery (n > 2). It is known that the good ones are one more than the bad ones, but what are the good batteries and what are the bad ones?",graphs
175,"There are several locks in the country of Mara. There are three roads out of each castle. There is a knight out of a castle. He travels on the roads from every castle standing in his way to either right or left in relation to the road on which he came. The knight never turns to the direction he turned to before, and he proves that one day he will return to the castle of origin.",combinatorics
176,"While walking through Kenigsberg, Leonard Eyler wanted to walk around the city, walking through each bridge exactly once (see figure). How would he do that?",combinatorics
177,"For three positive numbers, it is known that if you choose one of them and add the sum of the squares of the other two squares to it, you will have the same sum, regardless of the number selected. Prove that any two of the original numbers are the same.",polynoms
178,"Let a1, a2,... is such a sequence of non-zero numbers that (am, an) = a(m,n) (m,n >1).",number_theory
179,Prove that the numbers p and p + 2 are simple twin numbers when and only when 4(p-1)! + 1) + 1 + p 0 (mod p2 + 2p).,number_theory
180,Prove that a ~ b (mod m) is then and only when a – b is divided by m.,number_theory
181,"Each of the 100 cards has one number different from zero, so that each number is equal to the square of the sum of all the others. What are the numbers?",polynoms
182,Prove that the first digits of species 22n form a non-recurrent sequence. Send a comment Decision Page: < < 99 100 102 103 104 105 >> [Total tasks: 590] 1 2 5 10 20 50 100 with decisions,dirichlet
183,"How many ways can the word ""quadrate"" be read in the following table from letter to letter to letter, in aa and d d d d r r r r r r a a a and and, to that extent, twt?",combinatorics
184,"Can you place two precise cubes between adjacent exact squares? In other words, does the solution have a whole number of inequalities: n2 < a3 < b3 < (n + 1)2? Send a comment Decision Task 65895 Theme: [Separation of numbers:] Complex: 3+Classes: 6.7 yesterday Nikita bought several pens: blacks today, 9 rubles per unit and blues per unit.",number_theory
185,At what parameter values a polynomial P(x) = xn + axn-2 (n ≥ 2) is divided by x - 2?,polynoms
186,"AB Horda divides the circle by two arcs, of which the smaller arc is 130 degrees, and the larger chord is AC over 31:15 from point A. Find the angle BAC. Find the angle BAC. Send the comment Decision Task 52581 Themes: [the angle between the tangent and the chord] [the central angle. The length of the arc and the length of the circle] Complexity: 2+Class: 8.9 Through the end of the chord dividing the circle over 3:5 is tangential. Find the sharp angle between the chord and the tangent. Send the comment Decision 56539 Themes: [The angle (other) is written] [the circle described]",geometry
187,"Of the 200 numbers, 1, 2, 3,..., 199, 200 have chosen one number, less than 16, and 99 numbers. Prove that there are two of the selected numbers, one of which is divided into the other.",number_theory
188,Which rectangles with whole sides are larger: with the perimeter 1996 or with the perimeter 1998? (The polygons a×b and b×a are considered to be the same.),combinatorics
189,Consider comparisons: (a) 8x 3 (mod 13); (b) 17x 2 (mod 37); (c) 7x 2 (mod 11); (g) 80x 17 (mod 169).,number_theory
190,Let n > 2. Prove that there is at least one prime number between n and n.,number_theory
191,There are 21 points on the circle. Prove that at least 100 of the arcs with the ends of these dots have an angular measure of not more than 120 degrees.,combinatorics
192,"(b) Can one of the numbers 1, 2,..., 12, 13 and the remaining ribs of the cube be deleted in such a way that the same condition is fulfilled?",combinatorics
193,Every two cities in the country are connected by a one-way road to prove that there is a city from which no more than two roads can be driven.,combinatorics
194,"There are 101 cities in the country of Ancienta, and some of them are connected by roads, and every two cities connect exactly the same path. How many roads are there in this country?",combinatorics
195,Send comment Decision Page: < < 6 7 8 9 10 11 12 >> [Total tasks: 63] 1 2 5 10 20 50 100 with decisions,geometry
196,"It is known that A is the largest of the numbers produced by several natural numbers, the sum of which is 2011.",number_theory
197,"A man has 10 friends and, for a few days, invites some of them to visit the company in such a way that the company never repeats (in any day he may not invite anyone). How many days can he do that?",combinatorics
198,"Can you draw 1,006 different 2012-cogons that have all the vertices in common, but none of the two have any common sides?",dirichlet
199,The last digit of the natural number square is 6. Prove that its penultimate digit is odd.,number_theory
200,Prove the inequality: +... + ≥. The values of the variables are considered to be positive.,polynoms
201,The cells of an infinite celled piece of paper have painted black and white in a chess order. Let X be a triangle of S square with vertices in the grid. Show that there is such an X triangle with vertebrates in the grid node that the area of its white part is equal to the area of the black part and equals S.,number_theory
202,n points are connected in pieces so that each point with something is connected and there are no two points that are connected in two different ways. To prove that the total number of segments is n - 1.,graphs
203,It's looking at a board of 8×8 cells that are not yet painted. How many ways can you paint a black and white board so that the black cells are 31 and no two black cells have a common side? (Two ways of painting are considered different if there is a cell that is white in one of these ways and black in the other.),combinatorics
204,"The digger can only jump exactly 50 cm. He wants to get around the eight points in the drawing (the side of the cell is 10 cm). What is the lowest number of jumps he has to make? (It is allowed to visit other points of the plane, including not grid knots. You can start and finish at any point.)",graphs
205,"Comment Decision Task 54862 Themes: [The value of the angle between two chords and two syllables] [The sum of the angles of the triangle. Theorem of the outer angle. ] The complexity: 3+Classes: 8.9 Upper B, C, D ABCD are located on the circle with the centre O which crosses the side of AB at point F and AD at point E. It is known that the angle BAD straight, the chord of EF is equal to the chord of FB and the chord of BC, CD, ED are equal to one another. Find the angle ABO. Send a comment. Decision 54863 Themes: [The value of the angle between the two chords and the two syllables] [The value of the angles of the triangle, which is equal to two angles of the angle of the triangle, and the angle of the outer angle.] AD is known as the angle of the AAD in point at point B, C, D of the quadrant of the ABD is located on the circle of the centre of O. This circle crosses the side of AD between the side of the point of the AD and the angle of the distance of the E, and the A.",geometry
206,Direct l divides the area of the convex polygon in half. Prove that this line divides the projection of this polygon into a line perpendicular to l in a relation not exceeding 1 +.,polynoms
207,What are the three colors at which n of all the n-coal prism ribs (bases - n-coals) can be painted so that all three colors are combined at each top and each of the edges (including the bases) has sides of all three colors?,number_theory
208,Can the equality of K×OXT = OXHEXEXY if it is replaced by the numbers 1 to 9? Different letters correspond to different numbers.,number_theory
209,"On the circle are points A1, A2,..., A16. Let's build all possible convex polygons whose vertebrates are among points A1, A2,..., A16. Let's break these polygons into two groups. The first group will include all polygons with A1 as the top. The second group includes all polygons with A1 as the top. What group of polygons is the largest?",combinatorics
210,"Two fishers caught 80 fish, with 5/9 catches of the first being kasi and 7/11 catches of the second being ducks. How many fish did each catch?",number_theory
211,"When Kolya and Alice arrived at the school, they found on the board the inscription: ""HORDON'S OLIMPIADA."" They agreed to play the following game: in one move in this inscription, it is allowed to erase the arbitrary number of identical letters, and the winner is the one who erases the last letter.",number_theory
212,Ladies are standing on the left field of a celled strip 1×30 and can move to any number of cells to the right. (a) How many ways can she reach the extreme right field? (b) How many ways can she reach the extreme right field at exactly seven moves?,combinatorics
213,How many ways can 12 white checkers and 12 black checkers be placed in black fields of the chess board?,combinatorics
214,To what extent should the equation 19x + 14y = c have six natural solutions?,number_theory
215,"The board says 10 natural numbers. Prove that from these numbers you can select several numbers and place the ""+"" and ""-"" signs between them so that the resulting algebraic sum is divided by 1001.",dirichlet
216,"Let (m,n) > 1. What's bigger than ""mn"" or ""m""(n)?",number_theory
217,"Prove that equation x3 + ax2 – b = 0, where a and b is physical and b > 0, has one and only one positive root.",polynoms
218,"Is there a natural number divided by 1998, the sum of which is less than 27?",number_theory
219,"At your birthday, Vasi had 10 guys (including Vasyu), and it turned out that each of these two guys had a grandpa in common, so prove that seven of them had a grandfather in common.",combinatorics
220,"The digger can only jump exactly 50 cm. He wants to get around the eight points in the drawing (the side of the cell is 10 cm). What is the lowest number of jumps he has to make? (It is allowed to visit other points of the plane, including not grid knots. You can start and finish at any point.)",combinatorics
221,"a, b, c is whole numbers, a + b + c is divided by 6. Prove that a3 + b3 + c3 is also divided by 6.",number_theory
222,"The sequence of natural numbers a1 < a2 < a3 <... < an <... is such that each natural number is either in a sequence or represented as the sum of two members of the sequence may be the same. Prove that an < n2 for any n = 1, 2, 3,...",combinatorics
223,"It's a set of 2009 numbers that if each number in the set is replaced by the sum of the other numbers, it's the same set. Find the work of all the numbers in the set.",number_theory
224,Prove that among any ten consecutive natural numbers there is a number that is mutually simple with the others.,number_theory
225,How many six-digit numbers are there that each subsequent figure is less than the previous one?,combinatorics
226,"In the spring tournament of the 2000 city tournament, six tasks were offered to high school students in N country, each one of which had a total of 1,000 students, but no two students had done all six tasks together. What was the lowest possible number of high school students in N country who took part in the spring tour?",graphs
227,"On their birthday, Oleg was given a set of equal triangles with sides three, four and five centimetres. Oleg took all these triangles and folded them into a square. Prove that the triangles were an even number.",number_theory
228,"The sequence of natural numbers an is constructed as follows: a0 is a certain natural number; an+1 is equal to 1/5 an if an is divided into 5; an+1 is [an] if an is not divided by 5. Prove that, starting with a certain member, the sequence an is increasing.",number_theory
229,"Misha noticed that an electronic tabloid showing the value of a dollar to a ruble (4 digits separated by a decimal point) has the same four different numbers as a month ago but in a different order, with the rate rising by exactly 20 per cent. Give an example of how this could have happened.",number_theory
230,"The letters A and B are in a circle, only 41 letters. You can replace ABA with B and vice versa, as well as BAB with A and vice versa. Is it true that from any initial location you can get a circle with exactly one letter on it?",number_theory
231,Petia recorded the number 1 on the computer. Every second the computer adds to the number on the screen the sum of its numbers. Can the number 123456789 appear on the screen after a while?,number_theory
232,"The tournament, which was attended by 20 athletes, was judged by 10 arbitrators each one time, and each meeting was judged by one arbitrator. After the end of each game, both players were photographed with the arbitrator. One year after the tournament, a pile of all these photographs was found. It turned out that not everyone could be identified as an athlete or an arbitrator. How many of these people could have been?",combinatorics
233,The natural number n is such that 3n + 1 and 10n + 1 are squares of natural numbers. Prove that the number 29n + 11 is composite.,number_theory
234,The convex of the polygon on a plane contains not less than m2 + 1 points with the coordinates. Prove that it contains m + 1 points with the coordinates that lie on one line.,dirichlet
235,Prove that there are two of the 50 people who have an even number of common acquaintances (perhaps 0) among the remaining 48.,graphs
236,"Let {pn} – a sequence of prime numbers (p1 = 2, p2 = 3, p3 = 5,...)... (a) Prove that pn > 2n at n ≥ 5.(b) At what are the n inequalities pn > 3n?",number_theory
237,"Let a, b, c, d are different numbers. Prove that cdcdcdcd is not divided into aabb.",number_theory
238,Find the balance of the division by the 17th of the 2199 + 1.,number_theory
239,"[The value of the angle between two chordes and two singinging] [The written quadgons (other)] [The four points on the same circle] [The four points on the same circle] [The four points on the same circle] The difficulty: 4-Class: 8.9 On the circle are given A, B, C, D in the order in the order given; M is the centre of the AB arc; M is the centre of the AB arc arc AB. Let's indicate the intersection points of the MC and MD with the AB's chord AB position through E and K. Show that KECD is the pend: 4KB: 4-Class: 8 KC1 The angle between the two chudas and the two singingingingingingingingingingingings are: [The angle between the two chudas and the two sides are given on the circle of AB through E and K. Please prove that KECD is the cut down to the distance from AB to the point P and the continuation of the distance BC to the point of the point of the point of the BC is the point of the point of the point of the distance of the point of the distance of the distance of the BC of the point of the distance of the point of the distance of the K KC is the KK [the K KC = the KC = the C point of the K point of the K point of the K point of the K point of the K point of the C point of the S point of the S point of the S point of the K is that is the B is that is that is that is the B is the B is the B is the B is that is the B is that is the B is that is the B is the B is the B is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is the B is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is that is the B is that is that is that is that is that is that is that is",geometry
240,"Twenty cards are given. Each of the numbers from zero to nine inclusive is written on two of these cards (on each card there is only one number). Can these cards be placed in a row so that the zeros are standing next to each other, there is exactly one card between the units, there is two between the twos, and so on to the nine cards between which there are nine cards?",number_theory
241,"The elevator in the 100-storey house has two buttons: ""+7"" and ""–9"" (the first lifts the elevator to the 7th floor, the second lowers to the 9th floor). Can you drive: (a) from 1st to 2nd; (b) from 2nd to 1st; (c) from anyone to any floor?",combinatorics
242,"Some of the chess board cells have a candy board. It is known that in each row, in each column and in each diagonal (any length, even one cell) there is an even number of candy (perhaps none). What is the maximum number of candy on the board?",dirichlet
243,"Each of the 1994 members of Parliament slapped one of their colleagues, proving that a parliamentary commission of 665 members could be formed, whose members did not understand their relationship in the manner described above.",graphs
244,"There are 101 coins, of which 50 fakes, which differ by weight by one gram from the present ones.",number_theory
245,Dan is a rectangular billiard 26×1965 (the length of 1965 is directed from left to right and the length 26 from top to bottom; the bows are located in the tops of the rectangle). A ball is released from the lower left bow at an angle of 45° to the sides. Prove that after several reflections from the sides it will fall into the upper left louse. (The angle of fall is equal to the angle of reflection.),number_theory
246,"Positive rational numbers are given a, b. One of the roots of the three members is x2 – ax + b – a rational number in an inexhaustible record having the appearance of m/n. Prove that the denominator of at least one of the numbers a and b (in an inexhaustible entry) is not less than n2/3.",number_theory
247,Two hockey teams of the same force have agreed that they will play until the total score reaches 10. Find a mathematical expectation of the number of times a tie has arrived.,combinatorics
248,"Let p be a prime number. Prove that, with some simple q, all numbers of the species np – p are not divided by q.",number_theory
249,"It can be shown that of any 27 different natural numbers below 100, two numbers that are not mutually simple can be selected.",dirichlet
250,Figure in the full numbers of equations: (a) 45x – 37y = 25; (b) 19x + 95y = 1995; (c) 10x + 2y + 18z = 7; (g) 109x + 89y = 1; (d) 43x + 13y = 21; (e) 34x – 21y = 1.,number_theory
251,"How many sequences {a1, a2,..., a2n} consisting of units and minus units have the properties that a1 + a2 +... + a2n = 0 and all partial amounts a1, a1 + a2,..., a1 + a2 +... + a2n are not negative?",combinatorics
252,Prove that 2n > (1 – x)n + (1 + x)n with a total of n ≥ 2 and,combinatorics
253,"There are three piles of stones. It is allowed to add as many stones as there are in the other two piles, or to throw as many stones out of any pile as there are in the other two piles.",number_theory
254,(a) d(0) + d(1)x + d(2)x2 +... = (1 + x) 1 + x2) + 1 + x3)...;,combinatorics
255,"The sum of n is equal to zero, and the sum of their squares is equal to one. Prove that there are two of these numbers whose work is no more than - 1/n.",polynoms
256,"The circle passing through the vertices A, B and the point of intersection of the ABC triangle heights crosses the sides of AC and BC at internal points. Prove that 60° < C < 90°.",geometry
257,"Two players in turn are placed on the 65x65 board by one checker, and no line (horizontals or verticals) should have more than two checkers. Who can't make a move is lost. Who wins in the right game?",combinatorics
258,"Prove that in the equation (x1 +... + xm)n = coefficients C(k1,..., km) can be found using the formula",combinatorics
259,"In some states, 101 cities.",graphs
260,"Ivan the king has two magic swords, the first one that can cut off the Snake of the Mountain 21 head. The second one is four heads, but the Snake of the Gorynich grows 2006 heads. Can Ivan cut off the Snake of the Mountain all heads if he had 100 heads at the beginning? (If, for example, the Snake of the Mountain has only three heads left, neither can he cut them with a sword.)",number_theory
261,Send a comment Decision Task 56539 Themes: [Written angle (other)] [Written and described circles] Complexity: 2+Classes: 7.8.9 The Center of the Inscribed Triangle of the ABC is symmetified by the center of the described circle relative to the AB side. Find angles of the ABC triangle. Send a comment Decision Page: < < 1 2 3 4 5 6 7 >> [Total tasks: 1270] 1 2 5 10 20 100 with decisions,geometry
262,"There are 101 vertebrates in each vertebrate. Each vertice has a number of incoming and outgoing ribs equal to 40. Prove that from each vertice it is possible to reach any other one, with no more than three ribs. Send a comment. Decision 35108 Theme: [The theory of graphs (other) ] The complexity: 4Classes: 10.11 There are 100 points on the plane, none of which lie on the same line. Some pairs of points are connected in slices. It is known that no three segments form a triangle. What is the largest number of segments that could be carried out? Send a comment. Decision Page: << 25 26 27 28 29 30 31 >> [Total tasks: 380] 1 2 5 to 10 to 50 to 100 with decisions.",graphs
263,There are four points on the plane that do not lie on the same line. Prove that there is a non-structural triangle with vertebrates at these points.,dirichlet
264,"Borya has a whole number over 100. Kira calls an entire number over 1. If Borino is divided by this number, Kira wins, otherwise Borya subtracts from its number the number, and Kira calls the following number. She is not allowed to repeat the numbers mentioned earlier. If the Borino number becomes negative, Kira loses. Does she have a winning strategy?",number_theory
265,"Petia folded 10 consecutive degrees of two, starting with some, and Wasa folded a number of consecutive natural numbers, starting with 1. Could they have obtained the same result?",number_theory
266,Prove that the sum of squares of five consecutive natural numbers is not an exact square.,number_theory
267,Prove that 2n – 1)n – 3 is divided by 2n – 3 in any n.,number_theory
268,"On the board, two natural numbers of x and y (x ≤ y) are written in order of increase. The board records on the paper x2 (the square of the first number) and then replaces the numbers on the board with the numbers x and y to x, recording them in order of increase. With the new numbers on the board, it performs the same operation, and so on until one of the numbers on the board becomes zero. What is the sum of the numbers on the Petit paper?",invariant
269,"The CD chord with the center O is perpendicular to its diameter AB, and the AE chord divides in half the radius OC. Prove that the chord DE divides in half the chord BC.",geometry
270,"1953 figures are written in a circle. It is known that if you read these numbers clockwise, starting with a certain location, the number obtained is divided by 27. Prove that if you start reading clockwise from any other place, the number obtained will also be divided by 27.",number_theory
271,"There are 100 narcs in a circle. Under one of them, a coin is hidden. In one move, it is allowed to turn four narcs and see if there is a coin under one of them. After that, they are returned to their original position, and the coin is moved under one of their neighbors. What is the lowest number of moves that can be found?",dirichlet
272,"A series of valid numbers a1, a2, a3,..., a1996. Prove that one or more adjacent numbers can be identified in a way that is different from the whole number by 0.001.",dirichlet
273,The number 42X4Y is divided into 72. Find its numbers X and Y.,number_theory
274,Is 222555 + 555222 divided by 7?,number_theory
275,"In a rectangular box with the base m×n, where m and n are odd numbers, a 2×1 domino is placed in such a way that only the square of 1×1 (hole) is not covered in the corner of the box. If the dominoe is adjacent to the hole in the short side, it is allowed to move along one cell by closing the hole (with a new hole opening).",combinatorics
276,"The square table of 9x9 cells shows 9 cells at the intersection of the second, fifth and eighth rows with the second, fifth and eighth columns.",graphs
277,Consider the number Prove it,number_theory
278,"Will the natural numbers x, y and z meet the condition of 28x + 30y + 31z = 365?",number_theory
279,"Of the two mathematicians and ten economists, you have to make a commission of eight. How many ways can you make a commission if it's supposed to include at least one mathematician?",combinatorics
280,Set up the system:,polynoms
281,"Some of them are familiar with each other, and every two strangers have exactly two common acquaintances, and every two acquaintances have no common acquaintances. To prove that each person present is familiar with the same number of people.",polynoms
282,"There are several cities, some of which are connected by bus routes (without stopping on their way). From each city, you can drive to any other city (perhaps with a transplant). Ivanov bought one ticket for each route (i.e., he can drive it once anyway). Petrov bought n tickets for each route. Ivanov and Petrov left the city of A. Ivanov used all their tickets, did not buy new ones, and ended up in another city of B. Petrov spent some time on purchased tickets, ended up in the city of X and cannot leave without buying a new ticket. Prove that X is either A or B.",graphs
283,For which natural n is the number 1/n represented by the final decimal?,number_theory
284,Find at least one numerical solution of equation a2b2 + a2 + b2 + 1 = 2005.,number_theory
285,"To send a comment Decision Task 55531 Themes: [Sixgons] [The value of the angle between two chords and two sections] The complexity: 4+Classes: 8.9 To the circle are the T1 and T2 triangles, with the vertebrates of the T2 triangle being the middle of the arc, on which the circle is broken by the tops of the T1 triangle. Prove that in the hexagon, which is the intersection of the T1 and T2 triangles, the diagonals connecting the opposite peaks are parallel to the sides of the T1 triangle and intersect at the same point. Send a comment Decision 116397 Themes: [The Dirichle principle (other)] [The value of the angle between the two chords and the two sections] The angle: 5Klass: 10.11 Author: The V.V. The 100 red points divided the blue circle by 100 arcs, the length of which are all natural numbers from 1 to 100 in an arbitrary order.",geometry
286,Find all the whole numbers a for which the number a10 + 1 is divided by 10.,number_theory
287,"In some cells, the 10x10 boards put k okays, and then they pointed out all the cells that hit at least one rook (the rook beats and the cage on which it stands). What is the greatest k that, after removing any rook from the board, any one of the observed cells will not be under combat?",dirichlet
288,"Let a1, a2,..., a10 are natural numbers, a1 < a2 <... < a10. Let bk be the largest diluent ak, less ak. It turns out that b1 > b2 >... > b10. Prove that a10 > 500.",number_theory
289,How many seven-digit numbers can you get by deleting one number?,combinatorics
290,The second circle with a centre at point B has a radius of 2 and intersects with the first circle at points C and D. The CE chord of the second circle is part of relative to the first circle and is equal to 3. Find the radius of the first circle. Send a comment. Decision 10888888 Themes: [The angle between the tangent and the chord] [Media conducted to the hypotenuse] [Axis to the hypotenuse] [Accord to the hypotenuse] [Accept to the heights] [The distance between the heights is equal to the heights of the heights.] [The angle is equal to the half of the central circle.],geometry
291,"From a chessboard 8×8 a central square of 2×2 was cut out. Can the rest of the board be cut into equal figures in the form of a letter ""G"" consisting of four cells?",number_theory
292,Find all natural n in which (n + 1) is divided by 1! +... + n!,number_theory
293,"Consider a graph where the vertices correspond to all three elements of multiple {1, 2, 3,......, 2k}, and the ribs are drawn between the vertices that correspond to the subsets that cross exactly the same element. Find a minimum number of colors in which the tops of the graph can be painted in such a way that any two vertices connected by the rib are of different colours.",dirichlet
294,"Inside the ABCD parallelogram, the P point is selected in such a way that the ARV + the RD = 180 degrees. Prove that the PVC = the PDC.",geometry
295,"Enter the square of 3x3 numbers so that if, as coefficients a, b, c (a x 0) of the square equation ax2 + bx + c = 0, take the numbers from any line (left to right), column or diagonal (up to) of the square, then the resulting equation will have at least one root.",polynoms
296,The following points shall be taken into account: [The angle between the tangent and the chord] [Recognition and properties of the tangent] The difficulty: 3Klass: 8.9 Direct refers to the circle with the centre O at point A. The point C on that line and the point D on the circle are situated different sides of the straight OA. Find the angle CAD if the angle of the AOD is 110°.] Send a comment Decision 53985 Themes: [The angle between the tangent and the chord] [The angles and properties of the tangent] The difficulty: 3Klass: 8.9 Direct concerns the circle with the centre O at point A. The point C on this straight and the point D on the circle are situated one side of the straight OA. Make sure that the angle of the CAD is half the angle AOD.,geometry
297,"There are several thin matches of the same length on the table. Is it always possible to paint their ends (a) in 2, (b) in three colours so that the two ends of each match are different colours and every two related matches are the same color?",combinatorics
298,The sixth digit is divided by 7. His first digit was erased and then recorded behind the last number. Prove that the new number is also divided by 7.,number_theory
299,"In the ABC triangle, the medians AA0, BB0, CC0, intersect at the M point. Prove that the centres of the described triangle circles MA0B0, MCB0, MA0C0, MBC0, and M are on the same circle.",geometry
300,Find all valid system solutions,number_theory
301,"[The four points on the same circle] [The written angle on the same circle] [The written angle based on the diameter] [The written angle based on the diameter] [The diameter, the basic properties] [The angles based on the same arcs and the equal choirs] [The angles based on the equal arcs and the equal choirs] [The Orthogonal (veragonal (veragonal) projection] [The four points on the same circle] [The written angle based on the size of the diameter] [The written angle based on the diameter] [The diameter, the basic properties] [The angles based on the same arc and the same chounds] [The angles based on the equal arcs and the equal chounds] [The Orthogonal (right and described by the angle) projection of the points of the points based on the same arc on the same arc on the diameter of the ABCD] [The size of the ABCD and the IC are on the same circle. Please show that the projections of the points of the points of B and D on the lines of IACD and BCD are the triangle of ACD and BCD and BCD and BCD and BCD and BCD and the circles of the circles of the circles of the areas of the points of the points of the points of the centres of which are located of the centres of the [T of the centres of the [T and BCD and BCD and BCD and the places of the centres of the centres of the places of the] and the centres of the places of the centres of the places of the centres of the centres of the centres of the [A and the] and the] and of the] of the] of the] of the] of the] of the] of the] of the [A of the] of the [A of the [A of the] of the [A of the [A of the] of the] of the [A and the] and the] of the] of the] of the] of the] of the] of the] of the [A and the [the of the [A and the [A and the [A and the] and the [the of the] and the] of the] of the] of the] of the] of the [the of the] of the] of the] of the",geometry
302,Calculate in natural numbers the equation x2 + y2 = z2.,number_theory
303,"Dan multi-member with whole coefficients. At three whole points, it takes a value of 2. Prove that at no point does it take a value of 3.",polynoms
304,"On the bookshelf there are 30 volumes of encyclopedia in some order. For one operation, it is allowed to replace any two adjacent volumes. For what is the least number of operations that can be guaranteed to build all volumes in the right order (from the first to the thirtieth left to the right) regardless of the initial position?",combinatorics
305,"Let's start counting fingers on the right hand: the first is the finger, the second is the nameless one, the third is the middle one, the fourth is the index one, the fifth is the big one, the sixth is the index one again, the seventh is the middle one again, the eighth is the nameless one, the ninth is the finger, the tenth is the nameless one, etc. Which finger will be in the 2004 account?",number_theory
306,Find the largest common number divider 2n + 13 and n + 7.,number_theory
307,"Natural numbers a, b, c, d are interchangeably simple and satisfy the equality ab + cd = ac – 10bd. Prove that there are three numbers among them, one of which is equal to the sum of the other two.",number_theory
308,"Natural numbers between 1 and 200 have been broken into 50 sets, so prove that there are three numbers in one of them, which are the lengths of the sides of a triangle.",dirichlet
309,"The numbers on the board were 3, 9 and 15. It was allowed to add two recorded numbers, subtract a third from that amount, and write the result on the board instead of the number that had been deducted. Three numbers, the smallest of which was 2013, were added after repeated execution. What were the other two numbers?",invariant
310,"There are 20 beads of ten colors, two beads of each color. They were somehow placed into 10 boxes. It is known that you can choose the bead from each box so that all colors will be presented. Prove that the number of these options is a non-zero degree of two.",graphs
311,Find the remaining 1316 to 255 to 515 divided by 3.,number_theory
312,"In the cells of table 3×3, the numbers are 1, 0, 1. Prove that any two of the eight amounts in all rows, all columns and the two main diagonals will be equal.",dirichlet
313,"Spider in the woods sprung a spider's web. Long threads tied to the branches. And in this web there's a butterfly. In one step, a butterfly or spider can move a thread to the next point of crossing the threads; a butterfly can also get out to the end of the thread (wind) if it was in front of it at the next point of the intersection. They go in turn, they start the butterfly. If a butterfly can reach the branches, it saves it. If the spider gets to the butterfly, it eats it. (and that's its victory.) May and this outcome, when no one wins and the game lasts indefinitely. (a) How will the game end in a situation illustrated in the drawing? (In the spider's four rings and seven radius. b) What will the game end if the ring is three and the radius seven?) What will the game end if the ring is four and the radius ten?)",number_theory
314,"Find all pairs of whole numbers (x, y) for which the numbers x3 + y and x + y3 are divided by x2 + y2.",number_theory
315,"In table 8×8, one of the cells is painted black, all the other cells are white. Prove that by repainting rows and columns, all cells cannot be made white. By repainting a line or column means changing the color of all cells in a row or column.",number_theory
316,"The circle is divided into six sectors, each of which lies in a herring, allowed to move any two herrings in the neighbouring sectors in one move, moving them in different directions. Can all the herrings in the same sector be assembled with this operation?",invariant
317,Find all natural n for which 2n + 33 is the exact square.,number_theory
318,The square three-member f(x) = ax2 + bx + c is such that the equation f(x) = x has no real roots. Prove that equation f(f(x) = x also has no real roots.,polynoms
319,"There's a family of 24 mice living in a mink, and every night, four of them go to the warehouse for cheese, so can it be that at some point in time each mouse went to the warehouse one at a time?",combinatorics
320,"In the country of 2,000 cities, some pairs of cities are connected by roads, and it is known that no city is more than N of the various non-self-transverse cyclical routes of odd length. Prove that the country can be divided into 2N + 2 republics so that no two cities in the same republic are connected by road.",combinatorics
321,Prove that 7120 - 1 is divided into 143.,number_theory
322,The S1 and S2 areas with O1 and O2 centres intersect at points A and B respectively. The S1 and S2 areas at point A overlap the BO2 and BO1 segments at points K and L respectively.,geometry
323,"A figure made up of 16 sections (see figure) can be shown that it cannot be broken, crossing each segment exactly once. A broken figure can be unconfined and self-convertible, but its tops should not lie on the tips and the sides should pass through the tops of the figure.",number_theory
324,"On a straight line, we've figured out how many frogs can make n moves (for some initial position of frogs). Prove that if we'd let the same frogs jump to the left, not jump to the right, then the way to make n moves would be the same.",combinatorics
325,"An intelligent tourist wants to walk the streets of the Old City from the train station (the point A on the plan) to his hotel (the point B). The tourist wants his route to be as long as possible, but he doesn't care about the same intersection twice, and he doesn't do that. Draw on the plan the longest possible route and prove that there is no longer.",graphs
326,How many ways can you put black and white rooks on the chess board so they don't hit each other?,combinatorics
327,"To prove that there are infinitely many such pairs (a, b) of natural numbers that a2 + 1 is divided by b and b2 + 1 is divided by a.",number_theory
328,"It is known that the meaning of the word will not change in the alphabet of the MUSA language if you throw out the letters in front of you and if you add to any place the words ""UUU"" or ""UAU"". Is it possible to say that the words ""UE"" and ""UAU"" have the same meaning?",invariant
329,"In the kingdom of eight cities, the King wants to build such a system of roads so that every city can get to any other city without more than one intermediate city, and that every city can have no more than k roads.",graphs
330,"Twenty-five coins are arranged at random into two groups. Then any of the existing groups are split into two groups again, and so on until each group consists of a single coin. When each group is split into two, a piece of coins is recorded in two groups. What is the sum of all the numbers recorded?",combinatorics
331,"Prove that the number x is part of the given subtractive system when and only when the numbers a1,..., an, defined by the comparisons x a1 (mod m1),..., x x an (mod mn) belong to the given subtractive systems for the M1,..., mn respectively.",number_theory
