;Задача;Тема
2;Собралось n человек. Некоторые из них знакомы между собой, причём каждые два незнакомых имеют ровно двух общих знакомых, а каждые два знакомых не имеют общих знакомых. Доказать, что каждый из присутствующих знаком с одинаковым числом человек. ;Графы
3;В один из дней года оказалось, что каждый житель города сделал не более одного звонка по телефону. Докажите, что население города можно разбить не более чем на три группы так, чтобы жители, входящие в одну группу, не разговаривали в этот день между собой по телефону.;Графы
4;300 бюрократов разбиты на три комиссии по 100 человек. Каждые два бюрократа либо знакомы друг с другом, либо незнакомы. Докажите, что найдутся два таких бюрократа из разных комиссий, что в третьей комиссии есть либо 17 человек, знакомых с обоими, либо 17 человек, незнакомых с обоими. ;Графы
0;В стране 100 городов и несколько дорог. Каждая дорога соединяет два каких-то города, дороги не пересекаются. Из каждого города можно добраться до любого другого, двигаясь по дорогам. Докажите, что можно объявить несколько дорог главными так, чтобы из каждого города выходило нечётное число главных дорог.;Графы
1;"Каждое из рёбер полного графа с 18 вершинами покрашено в один из двух цветов. 
Докажите, что есть четыре вершины, все рёбра между которыми – одного цвета.";Графы
2;Дано натуральное число  n ≥ 2.  Рассмотрим все такие покраски клеток доски n×n в k цветов, что каждая клетка покрашена ровно в один цвет и все k цветов встречаются. При каком наименьшем k в любой такой покраске найдутся четыре окрашенных в четыре разных цвета клетки, расположенные в пересечении двух строк и двух столбцов? ;Графы
3;Из 54 одинаковых единичных картонных квадратов сделали незамкнутую  цепочку,  соединив их шарнирно  вершинами. Каждый квадрат (кроме крайних) соединён с соседями двумя противоположными вершинами.  Можно ли этой цепочкой квадратов полностью закрыть поверхность куба 3×3×3? ;Графы
4;Множество клеток на клетчатой плоскости назовем ладейно связным, если из каждой его клетки можно попасть в любую другую, двигаясь по клеткам этого множества ходом ладьи (ладье разрешается перелетать через поля, не принадлежащие нашему множеству). Докажите, что ладейно связное множество из 100 клеток можно разбить на пары клеток, лежащих в одной строке или в одном столбце. ;Графы
0;В однокруговом хоккейном турнире принимало участие 2016 команд. По регламенту турнира за победу даётся 3 очка, за поражение 0 очков, а в случае ничьей назначается дополнительное время, победитель которого получает 2 очка, а проигравший – 1 очко. По окончании турнира Остапу Бендеру сообщили количество очков, набранных каждой командой, на основании чего он сделал вывод, что не менее N матчей закончились дополнительным временем. Найдите наибольшее возможное значение N. ;Графы
1;"У фокусника и помощника есть колода с картами; одна сторона (""рубашка"") у всех карт одинакова, а другая окрашена в один из 2017 цветов (в колоде по 1000000 карт каждого цвета). Фокусник и помощник собираются показать следующий фокус. Фокусник выходит из зала, а зрители выкладывают на стол в ряд  n > 1  карт рубашками вниз. Помощник смотрит на эти карты, а затем все, кроме одной, переворачивает рубашкой вверх, не меняя их порядка. Затем входит фокусник, смотрит на стол, указывает на одну из закрытых карт и называет её цвет. При каком наименьшем k фокусник может заранее договориться с помощником так, чтобы фокус гарантированно удался? ";Графы
2;"За круглым столом сидят n человек. Разрешается любых двух людей, сидящих
рядом, поменять местами. Какое наименьшее число таких перестановок необходимо
сделать, чтобы в результате каждые два соседа остались бы соседями, но сидели
бы в обратном порядке? ";Графы
3;"Внутри круга расположены точки A1, A2, ..., An, а на его границе – точки B1, B2, ..., Bn так, что отрезки A1B1, A2B2, ..., AnBn не пересекаются. Кузнечик может перепрыгнуть из точки Ai в точку Aj, если отрезок AiAj не пересекается ни с одним из отрезков AkBk,  k ≠ i, j.
Докажите, что за несколько прыжков кузнечик сможет попасть из каждой точки Ap в любую точку Aq. 











					Прислать комментарий
				



			   
			
				Решение
			



Страница:  << 70 71 72 73 74  75  76 >> [Всего задач: 380]
     



по 1
			по 2
			по 5
			по 10
			по 20
			по 50
			по 100
		
		 
		
		с решениями
		 
		



";Графы
0;"Каждый из 450 депутатов парламента дал пощёчину ровно одному своему коллеге.
Докажите, что можно избрать парламентскую комиссию из 150 человек, среди
членов которой никто никого не бил. ";Графы
1;"Выбежав после уроков на двор, каждый школьник кинул снежком ровно в одного другого школьника. 
Докажите, что всех учащихся можно разбить на три команды так, что члены одной команды друг в друга снежками не кидали. ";Графы
2;N³ единичных кубиков просверлены по диагонали и плотно нанизаны на нить, после чего нить связана в кольцо (то есть вершина первого кубика соединена с вершиной последнего). При каких N такое ожерелье из кубиков можно упаковать в кубическую коробку с ребром длины N? ;Графы
3;"n школьников хотят разделить поровну m одинаковых шоколадок, при этом каждую шоколадку можно разломить не более одного раза.
   а) При каких n это возможно, если   m = 9?
   б) При каких n и m это возможно? ";Графы
4;"В прямоугольную коробку с основанием m×n, где m и n – нечётные числа, уложены домино размера 2×1 так, что остался не покрыт только квадрат 1×1 (дырка) в углу  коробки. Если доминошка прилегает к дырке короткой стороной, её разрешается сдвинуть вдоль себя на одну клетку, закрыв дырку (при этом открывается новая дырка). Докажите, что с помощью
таких передвижений можно перегнать дырку в любой другой угол. ";Графы
0;"Докажите, что точка пересечения биссектрис треугольника ABC, точки B и C, а также точка пересечения биссектрис внешних углов с
вершинами B и C лежат на одной окружности. ";Геометрия
1;В треугольнике ABC поведены медианы AA1 и BB1. Докажите, что если  ∠CAA1 = ∠CBB1,  то  AC = BC. ;Геометрия
2;"В треугольнике ABC точка X лежит на стороне AB, а точка Y – на стороне BC. Отрезки AY и CX пересекаются в точке Z. Известно, что  AY = CY  и 
AB = CZ.  Докажите, что точки B, X, Z и Y лежат на одной окружности. ";Геометрия
0;"На продолжении стороны BC треугольника ABC за вершину B
отложен отрезок BB', равный стороне AB. Биссектрисы внешних углов при вершинах B и C пересекаются в точке M. Докажите, что точки A, B', C и M лежат на одной окружности. ";Геометрия
1;Oколо четырёхугольника ABCD можно описать окружность. Точка P – основание перпендикуляра, опущенного из точки A на прямую BC, Q – из A на DC, R – из D на AB и T – из D на BC. Докажите, что точки P, Q, R и T лежат на одной окружности.;Геометрия
0;"
AM — биссектриса треугольника ABC. Точка D принадлежит
стороне AC, причём 
DMC = BAC. Докажите, что 
BM = MD.














					Прислать комментарий
				



			   
			
				Решение
			










					Задача
					
						55394







						Темы:
						 
					

						[
					



								Четыре точки, лежащие на одной окружности							



						]
					



						[
					



								Теорема Пифагора (прямая и обратная)							



						]
					



						[
					



								Площадь трапеции							



						]
					




Сложность: 4-Классы: 8,9





Найдите площадь трапеции, у которой основания равны 10 и
26, а диагонали перпендикулярны боковым сторонам.














					Прислать комментарий
				



			   
			
				Решение
			










					Задача
					
						67207







						Темы:
						 
					

						[
					



								Четыре точки, лежащие на одной окружности							



						]
					



						[
					



								Симметрия помогает решить задачу							



						]
					




Сложность: 4-Классы: 8,9,10



Автор: Москвитин Н.А.
Диагонали прямоугольника $ABCD$ пересекаются в точке $E$. Окружность с центром в точке $E$ лежит внутри прямоугольника. Из вершин $C$, $D$, $A$ проведены касательные к окружности $CF$, $DG$, $AH$, причем $CF$ пересекает $DG$ в точке $I$, $EI$ пересекает $AD$ в точке $J$, а прямые $AH$ и $CF$ пересекаются в точке $L$.
Докажите, что отрезок $LJ$ перпендикулярен $AD$.











					Прислать комментарий
				



			   
			
				Решение
			










					Задача
					
						52452







						Темы:
						 
					

						[
					



								Четыре точки, лежащие на одной окружности							



						]
					



						[
					



								Произведение длин отрезков хорд и длин отрезков секущих							



						]
					




Сложность: 4-Классы: 8,9





Точки A1 и B1 принадлежат сторонам соответственно OA и OB
угла AOB, не равного 
180o, и 
OA . OA1 = OB . OB1. Докажите, что
точки A, B, A1, B1 принадлежат одной окружности.














					Прислать комментарий
				



			   
			
				Решение
			










					Задача
					
						53140







						Темы:
						 
					

						[
					



								Четыре точки, лежащие на одной окружности							



						]
					



						[
					



								Прямоугольники и квадраты. Признаки и свойства							



						]
					



						[
					



								Применение тригонометрических формул (геометрия)							



						]
					




Сложность: 4-Классы: 8,9



Автор: Терешин Д.А.


На сторонах AB и AD квадрата ABCD взяты точки K и N
соответственно. При этом 
AK . AN = 2BK . DN. Отрезки CK и CN
пересекают диагональ BD в точках L и M. Докажите, что точки K, L,
M, N и A лежат на одной окружности.














					Прислать комментарий
				



			   
			
				Решение
			



Страница:  << 1 2 3  4  5 6 7 >> [Всего задач: 223]
     



по 1
			по 2
			по 5
			по 10
			по 20
			по 50
			по 100
		
		 
		
		с решениями
		 
		



";Геометрия
1;"












					Прислать комментарий
				



			   
			
				Решение
			










					Задача
					
						55394







						Темы:
						 
					

						[
					



								Четыре точки, лежащие на одной окружности							



						]
					



						[
					



								Теорема Пифагора (прямая и обратная)							



						]
					



						[
					



								Площадь трапеции							



						]
					




Сложность: 4-Классы: 8,9





Найдите площадь трапеции, у которой основания равны 10 и
26, а диагонали перпендикулярны боковым сторонам.














					Прислать комментарий
				



			   
			
				Решение
			










					Задача
					
						67207







						Темы:
						 
					

						[
					



								Четыре точки, лежащие на одной окружности							



						]
					



						[
					



								Симметрия помогает решить задачу							



						]
					




Сложность: 4-Классы: 8,9,10



Автор: Москвитин Н.А.
Диагонали прямоугольника $ABCD$ пересекаются в точке $E$. Окружность с центром в точке $E$ лежит внутри прямоугольника. Из вершин $C$, $D$, $A$ проведены касательные к окружности $CF$, $DG$, $AH$, причем $CF$ пересекает $DG$ в точке $I$, $EI$ пересекает $AD$ в точке $J$, а прямые $AH$ и $CF$ пересекаются в точке $L$.
Докажите, что отрезок $LJ$ перпендикулярен $AD$.











					Прислать комментарий
				



			   
			
				Решение
			










					Задача
					
						52452







						Темы:
						 
					

						[
					



								Четыре точки, лежащие на одной окружности							



						]
					



						[
					



								Произведение длин отрезков хорд и длин отрезков секущих							



						]
					




Сложность: 4-Классы: 8,9





Точки A1 и B1 принадлежат сторонам соответственно OA и OB
угла AOB, не равного 
180o, и 
OA . OA1 = OB . OB1. Докажите, что
точки A, B, A1, B1 принадлежат одной окружности.














					Прислать комментарий
				



			   
			
				Решение
			










					Задача
					
						53140







						Темы:
						 
					

						[
					



								Четыре точки, лежащие на одной окружности							



						]
					



						[
					



								Прямоугольники и квадраты. Признаки и свойства							



						]
					



						[
					



								Применение тригонометрических формул (геометрия)							



						]
					




Сложность: 4-Классы: 8,9



Автор: Терешин Д.А.


На сторонах AB и AD квадрата ABCD взяты точки K и N
соответственно. При этом 
AK . AN = 2BK . DN. Отрезки CK и CN
пересекают диагональ BD в точках L и M. Докажите, что точки K, L,
M, N и A лежат на одной окружности.














					Прислать комментарий
				



			   
			
				Решение
			



Страница:  << 1 2 3  4  5 6 7 >> [Всего задач: 223]
     



по 1
			по 2
			по 5
			по 10
			по 20
			по 50
			по 100
		
		 
		
		с решениями
		 
		



";Геометрия
2;"
Найдите площадь трапеции, у которой основания равны 10 и
26, а диагонали перпендикулярны боковым сторонам.














					Прислать комментарий
				



			   
			
				Решение
			










					Задача
					
						67207







						Темы:
						 
					

						[
					



								Четыре точки, лежащие на одной окружности							



						]
					



						[
					



								Симметрия помогает решить задачу							



						]
					




Сложность: 4-Классы: 8,9,10



Автор: Москвитин Н.А.
Диагонали прямоугольника $ABCD$ пересекаются в точке $E$. Окружность с центром в точке $E$ лежит внутри прямоугольника. Из вершин $C$, $D$, $A$ проведены касательные к окружности $CF$, $DG$, $AH$, причем $CF$ пересекает $DG$ в точке $I$, $EI$ пересекает $AD$ в точке $J$, а прямые $AH$ и $CF$ пересекаются в точке $L$.
Докажите, что отрезок $LJ$ перпендикулярен $AD$.











					Прислать комментарий
				



			   
			
				Решение
			










					Задача
					
						52452







						Темы:
						 
					

						[
					



								Четыре точки, лежащие на одной окружности							



						]
					



						[
					



								Произведение длин отрезков хорд и длин отрезков секущих							



						]
					




Сложность: 4-Классы: 8,9





Точки A1 и B1 принадлежат сторонам соответственно OA и OB
угла AOB, не равного 
180o, и 
OA . OA1 = OB . OB1. Докажите, что
точки A, B, A1, B1 принадлежат одной окружности.














					Прислать комментарий
				



			   
			
				Решение
			










					Задача
					
						53140







						Темы:
						 
					

						[
					



								Четыре точки, лежащие на одной окружности							



						]
					



						[
					



								Прямоугольники и квадраты. Признаки и свойства							



						]
					



						[
					



								Применение тригонометрических формул (геометрия)							



						]
					




Сложность: 4-Классы: 8,9



Автор: Терешин Д.А.


На сторонах AB и AD квадрата ABCD взяты точки K и N
соответственно. При этом 
AK . AN = 2BK . DN. Отрезки CK и CN
пересекают диагональ BD в точках L и M. Докажите, что точки K, L,
M, N и A лежат на одной окружности.














					Прислать комментарий
				



			   
			
				Решение
			



Страница:  << 1 2 3  4  5 6 7 >> [Всего задач: 223]
     



по 1
			по 2
			по 5
			по 10
			по 20
			по 50
			по 100
		
		 
		
		с решениями
		 
		



";Геометрия
3;"












					Прислать комментарий
				



			   
			
				Решение
			










					Задача
					
						67207







						Темы:
						 
					

						[
					



								Четыре точки, лежащие на одной окружности							



						]
					



						[
					



								Симметрия помогает решить задачу							



						]
					




Сложность: 4-Классы: 8,9,10



Автор: Москвитин Н.А.
Диагонали прямоугольника $ABCD$ пересекаются в точке $E$. Окружность с центром в точке $E$ лежит внутри прямоугольника. Из вершин $C$, $D$, $A$ проведены касательные к окружности $CF$, $DG$, $AH$, причем $CF$ пересекает $DG$ в точке $I$, $EI$ пересекает $AD$ в точке $J$, а прямые $AH$ и $CF$ пересекаются в точке $L$.
Докажите, что отрезок $LJ$ перпендикулярен $AD$.











					Прислать комментарий
				



			   
			
				Решение
			










					Задача
					
						52452







						Темы:
						 
					

						[
					



								Четыре точки, лежащие на одной окружности							



						]
					



						[
					



								Произведение длин отрезков хорд и длин отрезков секущих							



						]
					




Сложность: 4-Классы: 8,9





Точки A1 и B1 принадлежат сторонам соответственно OA и OB
угла AOB, не равного 
180o, и 
OA . OA1 = OB . OB1. Докажите, что
точки A, B, A1, B1 принадлежат одной окружности.














					Прислать комментарий
				



			   
			
				Решение
			










					Задача
					
						53140







						Темы:
						 
					

						[
					



								Четыре точки, лежащие на одной окружности							



						]
					



						[
					



								Прямоугольники и квадраты. Признаки и свойства							



						]
					



						[
					



								Применение тригонометрических формул (геометрия)							



						]
					




Сложность: 4-Классы: 8,9



Автор: Терешин Д.А.


На сторонах AB и AD квадрата ABCD взяты точки K и N
соответственно. При этом 
AK . AN = 2BK . DN. Отрезки CK и CN
пересекают диагональ BD в точках L и M. Докажите, что точки K, L,
M, N и A лежат на одной окружности.














					Прислать комментарий
				



			   
			
				Решение
			



Страница:  << 1 2 3  4  5 6 7 >> [Всего задач: 223]
     



по 1
			по 2
			по 5
			по 10
			по 20
			по 50
			по 100
		
		 
		
		с решениями
		 
		



";Геометрия
4;"
Точки A1 и B1 принадлежат сторонам соответственно OA и OB
угла AOB, не равного 
180o, и 
OA . OA1 = OB . OB1. Докажите, что
точки A, B, A1, B1 принадлежат одной окружности.














					Прислать комментарий
				



			   
			
				Решение
			










					Задача
					
						53140







						Темы:
						 
					

						[
					



								Четыре точки, лежащие на одной окружности							



						]
					



						[
					



								Прямоугольники и квадраты. Признаки и свойства							



						]
					



						[
					



								Применение тригонометрических формул (геометрия)							



						]
					




Сложность: 4-Классы: 8,9



Автор: Терешин Д.А.


На сторонах AB и AD квадрата ABCD взяты точки K и N
соответственно. При этом 
AK . AN = 2BK . DN. Отрезки CK и CN
пересекают диагональ BD в точках L и M. Докажите, что точки K, L,
M, N и A лежат на одной окружности.














					Прислать комментарий
				



			   
			
				Решение
			



Страница:  << 1 2 3  4  5 6 7 >> [Всего задач: 223]
     



по 1
			по 2
			по 5
			по 10
			по 20
			по 50
			по 100
		
		 
		
		с решениями
		 
		



";Геометрия
5;"












					Прислать комментарий
				



			   
			
				Решение
			










					Задача
					
						53140







						Темы:
						 
					

						[
					



								Четыре точки, лежащие на одной окружности							



						]
					



						[
					



								Прямоугольники и квадраты. Признаки и свойства							



						]
					



						[
					



								Применение тригонометрических формул (геометрия)							



						]
					




Сложность: 4-Классы: 8,9



Автор: Терешин Д.А.


На сторонах AB и AD квадрата ABCD взяты точки K и N
соответственно. При этом 
AK . AN = 2BK . DN. Отрезки CK и CN
пересекают диагональ BD в точках L и M. Докажите, что точки K, L,
M, N и A лежат на одной окружности.














					Прислать комментарий
				



			   
			
				Решение
			



Страница:  << 1 2 3  4  5 6 7 >> [Всего задач: 223]
     



по 1
			по 2
			по 5
			по 10
			по 20
			по 50
			по 100
		
		 
		
		с решениями
		 
		



";Геометрия
6;"
На сторонах AB и AD квадрата ABCD взяты точки K и N
соответственно. При этом 
AK . AN = 2BK . DN. Отрезки CK и CN
пересекают диагональ BD в точках L и M. Докажите, что точки K, L,
M, N и A лежат на одной окружности.














					Прислать комментарий
				



			   
			
				Решение
			



Страница:  << 1 2 3  4  5 6 7 >> [Всего задач: 223]
     



по 1
			по 2
			по 5
			по 10
			по 20
			по 50
			по 100
		
		 
		
		с решениями
		 
		



";Геометрия
7;"












					Прислать комментарий
				



			   
			
				Решение
			



Страница:  << 1 2 3  4  5 6 7 >> [Всего задач: 223]
     



по 1
			по 2
			по 5
			по 10
			по 20
			по 50
			по 100
		
		 
		
		с решениями
		 
		



";Геометрия
0;"В треугольнике ABC углы при вершинах B и C равны 
40°, BD – биссектриса угла B. Докажите, что  BD + DA = BC.  ";Геометрия
1;На плоскости даны две пересекающиеся окружности. Точка A – одна из двух точек пересечения. В каждой окружности проведён диаметр, параллельный касательной в точке A к другой окружности, причём эти диаметры не пересекаются. Докажите, что концы этих диаметров лежат на одной окружности. ;Геометрия
2;"
Пусть O — точка пересечения диагоналей трапеции ABCD
(
AB || CD), A1 и B1 — точки, симметричные 
точкам A и B относительно биссектрисы угла AOB. Докажите, 
что 
ACA1 = BDB1.














					Прислать комментарий
				



			   
			
				Решение
			



Страница:  << 2 3 4  5  6 7 8 >> [Всего задач: 223]
     



по 1
			по 2
			по 5
			по 10
			по 20
			по 50
			по 100
		
		 
		
		с решениями
		 
		



";Геометрия
3;"












					Прислать комментарий
				



			   
			
				Решение
			



Страница:  << 2 3 4  5  6 7 8 >> [Всего задач: 223]
     



по 1
			по 2
			по 5
			по 10
			по 20
			по 50
			по 100
		
		 
		
		с решениями
		 
		



";Геометрия
0;"
Докажите, что в треугольнике шесть точек — середины сторон
и основания высот — лежат на одной окружности (""окружности
девяти точек"").














					Прислать комментарий
				



			   
			
				Решение
			










					Задача
					
						66930







						Темы:
						 
					

						[
					



								Четыре точки, лежащие на одной окружности							



						]
					



						[
					



								Угол между касательной и хордой							



						]
					



						[
					



								Симметрия помогает решить задачу							



						]
					



						[
					



								Вспомогательные подобные треугольники							



						]
					




Сложность: 4Классы: 8,9,10,11



Авторы: Швецов Д.В., Зайцева Ю.
Биссектрисы $AA_1, BB_1, CC_1$ треугольника $ABC$ пересекаются в точке $I$.
Серединный перпендикуляр к отрезку $BB_1$ пересекает прямые $AA_1$, $CC_1$ в точках $A_0$, $C_0$. Докажите, что описанные окружности треугольников
$A_0IC_0$ и $ABC$ касаются.












					Прислать комментарий
				



			   
			
				Решение
			










					Задача
					
						67248







						Темы:
						 
					

						[
					



								Четыре точки, лежащие на одной окружности							



						]
					



						[
					



								Изогональное сопряжение							



						]
					



						[
					



								Прямая Эйлера и окружность девяти точек							



						]
					




Сложность: 4Классы: 10,11



Авторы: Дидин М., Фролов И.И.
Около остроугольного треугольника $ABC$ описана окружность $\omega$ с центром $O$. Точка $A’$ диаметрально противоположна $A$ на $\omega$. На меньшей дуге $BC$ окружности $\omega$ выбрана точка $D$. Точка $D’$ симметрична $D$ относительно стороны $BC$. Прямая $A’D’$ вторично пересекает $\omega$ в точке $E$. Серединный перпендикуляр к $D’E$ пересекает стороны $AB$ и $AC$ в точках $F$ и $G$ соответственно. Докажите, что $\angle FOG=180^\circ-2\angle BAC$.












					Прислать комментарий
				



			   
			
				Решение
			










					Задача
					
						108240







						Темы:
						 
					

						[
					



								Четыре точки, лежащие на одной окружности							



						]
					



						[
					



								Вписанный угол равен половине центрального							



						]
					



						[
					



								Серединный перпендикуляр к отрезку (ГМТ)							



						]
					



						[
					



								Отрезок, видимый из двух точек под одним углом							



						]
					




Сложность: 4Классы: 8,9



Автор: Берлов С.Л.


В треугольнике  ABC  на стороне  AC  нашлись такие точки
 D  и  E , что  AB=AD  и  BE=EC  ( E  между  A  и  D ).
Точка  F  – середина дуги  BC  (не содержащей точки  A )
окружности, описанной около треугольника  ABC . Докажите, 
что точки  B ,  E ,  D  и  F  лежат на одной окружности.















					Прислать комментарий
				



			   
			
				Решение
			










					Задача
					
						108620







						Темы:
						 
					

						[
					



								Четыре точки, лежащие на одной окружности							



						]
					



						[
					



								Конкуррентность высот. Углы между высотами.							



						]
					




Сложность: 4Классы: 8,9



В остроугольном треугольнике  ABC  проведены высоты AE и CD. Различные точки F и G на стороне AC таковы, что
DF || BC и EG || AB. Докажите, что точки D, E, F и G лежат на одной окружности. 











					Прислать комментарий
				



			   
			
				Решение
			



Страница:  << 3 4 5  6  7 8 9 >> [Всего задач: 223]
     



по 1
			по 2
			по 5
			по 10
			по 20
			по 50
			по 100
		
		 
		
		с решениями
		 
		



";Геометрия
1;"












					Прислать комментарий
				



			   
			
				Решение
			










					Задача
					
						66930







						Темы:
						 
					

						[
					



								Четыре точки, лежащие на одной окружности							



						]
					



						[
					



								Угол между касательной и хордой							



						]
					



						[
					



								Симметрия помогает решить задачу							



						]
					



						[
					



								Вспомогательные подобные треугольники							



						]
					




Сложность: 4Классы: 8,9,10,11



Авторы: Швецов Д.В., Зайцева Ю.
Биссектрисы $AA_1, BB_1, CC_1$ треугольника $ABC$ пересекаются в точке $I$.
Серединный перпендикуляр к отрезку $BB_1$ пересекает прямые $AA_1$, $CC_1$ в точках $A_0$, $C_0$. Докажите, что описанные окружности треугольников
$A_0IC_0$ и $ABC$ касаются.












					Прислать комментарий
				



			   
			
				Решение
			










					Задача
					
						67248







						Темы:
						 
					

						[
					



								Четыре точки, лежащие на одной окружности							



						]
					



						[
					



								Изогональное сопряжение							



						]
					



						[
					



								Прямая Эйлера и окружность девяти точек							



						]
					




Сложность: 4Классы: 10,11



Авторы: Дидин М., Фролов И.И.
Около остроугольного треугольника $ABC$ описана окружность $\omega$ с центром $O$. Точка $A’$ диаметрально противоположна $A$ на $\omega$. На меньшей дуге $BC$ окружности $\omega$ выбрана точка $D$. Точка $D’$ симметрична $D$ относительно стороны $BC$. Прямая $A’D’$ вторично пересекает $\omega$ в точке $E$. Серединный перпендикуляр к $D’E$ пересекает стороны $AB$ и $AC$ в точках $F$ и $G$ соответственно. Докажите, что $\angle FOG=180^\circ-2\angle BAC$.












					Прислать комментарий
				



			   
			
				Решение
			










					Задача
					
						108240







						Темы:
						 
					

						[
					



								Четыре точки, лежащие на одной окружности							



						]
					



						[
					



								Вписанный угол равен половине центрального							



						]
					



						[
					



								Серединный перпендикуляр к отрезку (ГМТ)							



						]
					



						[
					



								Отрезок, видимый из двух точек под одним углом							



						]
					




Сложность: 4Классы: 8,9



Автор: Берлов С.Л.


В треугольнике  ABC  на стороне  AC  нашлись такие точки
 D  и  E , что  AB=AD  и  BE=EC  ( E  между  A  и  D ).
Точка  F  – середина дуги  BC  (не содержащей точки  A )
окружности, описанной около треугольника  ABC . Докажите, 
что точки  B ,  E ,  D  и  F  лежат на одной окружности.















					Прислать комментарий
				



			   
			
				Решение
			










					Задача
					
						108620







						Темы:
						 
					

						[
					



								Четыре точки, лежащие на одной окружности							



						]
					



						[
					



								Конкуррентность высот. Углы между высотами.							



						]
					




Сложность: 4Классы: 8,9



В остроугольном треугольнике  ABC  проведены высоты AE и CD. Различные точки F и G на стороне AC таковы, что
DF || BC и EG || AB. Докажите, что точки D, E, F и G лежат на одной окружности. 











					Прислать комментарий
				



			   
			
				Решение
			



Страница:  << 3 4 5  6  7 8 9 >> [Всего задач: 223]
     



по 1
			по 2
			по 5
			по 10
			по 20
			по 50
			по 100
		
		 
		
		с решениями
		 
		



";Геометрия
2;"В остроугольном треугольнике  ABC  проведены высоты AE и CD. Различные точки F и G на стороне AC таковы, что
DF || BC и EG || AB. Докажите, что точки D, E, F и G лежат на одной окружности. ";Геометрия
0;   Дан треугольник ABC. Вневписанная окружность касается стороны AC в точке B1 и продолжений сторон AB и BC в точках C1 и A1 соответственно. Окружность Ω с центром в точке A и радиусом AB1 вторично пересекает прямую A1B1 в точке L. Докажите, что точки C1, A, B1 и середина отрезка LA1 лежат на одной окружности. ;Геометрия
0;"
Дан треугольник ABC. Окружность проходит через вершины A, B
и пересекает стороны AC и BC в точках P и Q соответственно. 
На стороне AB взяты точки R и S, причём 
QR || CA, 

PS || CB. Докажите, что точки P, Q, R, S лежат на 
одной окружности.














					Прислать комментарий
				



			   
			
				Решение
			










					Задача
					
						52486







						Темы:
						 
					

						[
					



								Четыре точки, лежащие на одной окружности							



						]
					



						[
					



								Вписанные четырехугольники (прочее)							



						]
					




Сложность: 4+Классы: 8,9





В треугольнике ABC угол C — тупой. На стороне AB отмечены
точки E и H, на сторонах AC и BC — точки K и M соответственно.
Оказалось, что AH = AC, BE = BC, AE = AK, BH = BM. Докажите, что
точки E, H, K, M лежат на одной окружности.














					Прислать комментарий
				



			   
			
				Решение
			










					Задача
					
						108171







						Темы:
						 
					

						[
					



								Четыре точки, лежащие на одной окружности							



						]
					



						[
					



								Три точки, лежащие на одной прямой							



						]
					



						[
					



								Углы, опирающиеся на равные дуги и равные хорды							



						]
					



						[
					



								Вписанные четырехугольники							



						]
					



						[
					



								Три окружности пересекаются в одной точке							



						]
					




Сложность: 4+Классы: 8,9



Центр O описанной окружности четырёхугольника ABCD не лежит на диагоналях этого четырёхугольника. Прямые AB и CD пересекаются в точке E, а прямые AD и BC – в точке F. 
   а) Докажите все шесть описанных окружностей треугольников ABF, CDF, BEC, ADE, BOD и AOC пересекаются в некоторой точке K. 
   б) Верно ли, что точка K лежит на прямой EF, а прямые
EF и OK перпендикулярны? 












					Прислать комментарий
				



			   
			
				Решение
			



Страница:  << 5 6 7  8  9 10 11 >> [Всего задач: 223]
     



по 1
			по 2
			по 5
			по 10
			по 20
			по 50
			по 100
		
		 
		
		с решениями
		 
		



";Геометрия
